	raw	no.adapt	filtered	derepF	derepR	denoisedF	denoisedR	merged	no.chim
TKPS4_S80	88209	87363	70940	70940	70940	70940	70940	50264	47036
TKPW1_S34	44829	43058	33952	33952	33952	33952	33952	19855	19329
TKPW1-2_S81	4174	3658	2391	2391	2391	2391	2391	1520	1500
TKPW2_S35	48339	45992	36500	36500	36500	36500	36500	25975	25467
TKPW2-2_S82	51972	51356	41617	41617	41617	41617	41617	29024	28569
TKPW3_S36	33756	32144	25081	25081	25081	25081	25081	13697	13375
TKPW3-2_S83	598789	593007	478912	478912	478912	478912	478912	379047	307265
TKPW4_S37	39523	34927	25741	25741	25741	25741	25741	13926	13455
TKPW4-2_S84	1240	499	102	102	102	102	102	49	49
TKPW5_S38	14630	6093	2459	2459	2459	2459	2459	1353	1350
TKPW5-2_S85	1412615	1399151	1126773	1126773	1126773	1126773	1126773	1106681	1058827
TKPWD1_S49	272503	269791	209783	209783	209783	209783	209783	133729	125223
TKPWD2_S50	404585	400670	316637	316637	316637	316637	316637	190715	170206
TKPWD3_S51	462010	457221	356762	356762	356762	356762	356762	233577	218451
TKPWD4_S52	134179	132848	104472	104472	104472	104472	104472	60165	57072
TKPWD5_S53	141957	140491	108931	108931	108931	108931	108931	63075	59866
